date,platform,campaign_type,audience,region,spend,impressions,clicks,conversions,revenue
2025-01-01,LinkedIn Ads,Social,Retargeting,East,556.96,9819,182,15,1455.65
2025-01-01,Meta Ads,Social,Lookalike,South,1159.01,46005,1206,62,8485.7
2025-01-01,YouTube Ads,Display,Lookalike,South,145.33,18063,245,12,1327.53
2025-01-01,Meta Ads,Display,Existing Customers,North,1604.85,104456,2343,122,13667.95
2025-01-02,Google Ads,Search,Lookalike,North,1818.52,40901,1274,107,15027.35
2025-01-02,YouTube Ads,Search,Prospecting,East,713.71,68140,1098,36,4515.51
2025-01-02,LinkedIn Ads,Social,Retargeting,West,1006.55,30674,491,31,3052.04
2025-01-03,LinkedIn Ads,Social,Prospecting,North,1006.38,31119,495,24,2231.41
2025-01-03,Google Ads,Search,Prospecting,South,460.94,9813,370,42,5705.58
2025-01-03,Meta Ads,Social,Existing Customers,West,998.96,66492,1427,78,9713.06
2025-01-04,Meta Ads,Display,Lookalike,West,413.84,37105,577,19,1655.22
2025-01-04,YouTube Ads,Display,Existing Customers,North,471.25,59258,684,18,1611.65
2025-01-04,Meta Ads,Social,Retargeting,East,1456.21,100083,1791,176,16704.39
2025-01-04,LinkedIn Ads,Social,Retargeting,North,1318.97,28916,444,41,3800.26
2025-01-05,Meta Ads,Search,Retargeting,North,442.28,35311,837,83,6488.16
2025-01-05,Google Ads,Social,Prospecting,North,434.53,9971,363,15,1428.13
2025-01-05,Meta Ads,Social,Prospecting,East,460.1,21463,572,20,1969.13
2025-01-06,Google Ads,Social,Retargeting,North,1126.98,31213,1251,152,16214.1
2025-01-06,LinkedIn Ads,Display,Prospecting,South,365.44,7741,169,12,1745.67
2025-01-06,Meta Ads,Search,Existing Customers,North,882.66,57117,1402,71,8449.89
2025-01-07,LinkedIn Ads,Search,Prospecting,South,1137.43,25251,472,20,2239.67
2025-01-07,Meta Ads,Search,Prospecting,East,660.98,26404,708,60,7450.0
2025-01-07,YouTube Ads,Video,Lookalike,South,1349.68,95143,1684,50,5536.41
2025-01-07,YouTube Ads,Social,Prospecting,South,574.37,70278,1128,38,4643.7
2025-01-08,LinkedIn Ads,Search,Existing Customers,East,609.16,10297,233,18,2333.79
2025-01-08,Google Ads,Video,Lookalike,East,370.88,12857,295,15,1758.1
2025-01-08,Meta Ads,Social,Prospecting,North,1355.93,84773,1770,88,14502.08
2025-01-09,Google Ads,Social,Lookalike,West,425.32,10475,347,23,3022.21
2025-01-09,Google Ads,Video,Retargeting,West,878.69,16903,728,52,4967.51
2025-01-09,Meta Ads,Search,Lookalike,East,668.29,24288,709,37,4501.57
2025-01-10,LinkedIn Ads,Search,Lookalike,East,353.11,8872,123,4,402.99
2025-01-10,YouTube Ads,Social,Lookalike,East,471.14,49747,962,23,2829.75
2025-01-10,Google Ads,Search,Retargeting,South,1719.77,46461,1317,230,20756.72
2025-01-11,Meta Ads,Display,Prospecting,South,798.04,53643,961,45,4277.7
2025-01-11,Meta Ads,Search,Lookalike,South,363.27,22758,480,27,3272.14
2025-01-11,Google Ads,Search,Existing Customers,North,853.67,18728,619,78,11200.39
2025-01-11,Google Ads,Search,Retargeting,West,636.58,20311,537,71,8807.38
2025-01-12,Meta Ads,Social,Lookalike,South,6609.15,359481,8890,625,81483.82
2025-01-12,Google Ads,Search,Retargeting,South,842.53,18178,719,49,5964.71
2025-01-12,Meta Ads,Search,Lookalike,West,546.58,39404,1048,69,8149.24
2025-01-13,Meta Ads,Video,Existing Customers,East,1761.81,121826,2479,76,8695.02
2025-01-13,LinkedIn Ads,Social,Prospecting,East,211.54,5483,98,2,259.27
2025-01-13,LinkedIn Ads,Social,Prospecting,North,744.26,20948,375,26,3469.64
2025-01-14,Google Ads,Search,Retargeting,South,2559.22,37300,1769,281,31995.76
2025-01-14,LinkedIn Ads,Social,Retargeting,East,649.08,23040,249,6,677.37
2025-01-14,LinkedIn Ads,Search,Retargeting,South,226.88,6270,95,8,1149.16
2025-01-14,Meta Ads,Social,Prospecting,North,541.17,37372,823,35,4012.13
2025-01-15,Google Ads,Search,Retargeting,West,1801.76,51897,1494,211,24552.45
2025-01-15,Meta Ads,Video,Retargeting,South,893.84,50427,1059,33,4082.63
2025-01-15,Google Ads,Video,Retargeting,East,405.79,11779,403,42,4756.06
2025-01-16,Google Ads,Search,Lookalike,South,448.39,12543,390,42,4209.82
2025-01-16,Google Ads,Search,Lookalike,East,486.52,10393,368,28,3410.49
2025-01-16,LinkedIn Ads,Search,Retargeting,West,885.24,24957,503,49,5600.82
2025-01-17,Meta Ads,Social,Lookalike,West,1670.55,111079,2342,132,19557.19
2025-01-17,LinkedIn Ads,Search,Retargeting,North,1387.36,37312,619,40,5167.68
2025-01-17,LinkedIn Ads,Video,Retargeting,East,941.51,22953,401,11,1147.09
2025-01-18,Meta Ads,Display,Retargeting,West,294.57,20163,443,27,3459.32
2025-01-18,Meta Ads,Display,Prospecting,East,295.28,24933,401,11,1325.96
2025-01-18,Google Ads,Social,Prospecting,North,989.99,16644,633,44,6097.07
2025-01-18,Google Ads,Video,Retargeting,North,291.93,8274,267,25,2639.0
2025-01-19,Meta Ads,Search,Existing Customers,North,604.54,29013,801,89,11380.24
2025-01-19,Meta Ads,Social,Lookalike,North,853.02,35186,861,34,3849.35
2025-01-19,Meta Ads,Social,Prospecting,West,334.17,18669,507,28,3249.47
2025-01-20,LinkedIn Ads,Video,Retargeting,West,359.71,7464,112,5,495.33
2025-01-20,Meta Ads,Social,Prospecting,East,658.46,44418,914,49,6142.95
2025-01-20,Meta Ads,Display,Lookalike,East,971.12,57642,1014,49,6003.64
2025-01-21,Meta Ads,Search,Lookalike,West,1395.58,88712,1719,144,19891.3
