date,platform,campaign_type,audience,region,spend,impressions,clicks,conversions,revenue,ctr,conversion_rate,cpc,roas
2025-01-01,LinkedIn Ads,Social,Retargeting,East,556.96,9819,182,15,1455.65,0.018535492412669316,0.08241758241758242,3.0602197802197804,2.613562912956047
2025-01-01,Meta Ads,Social,Lookalike,South,1159.01,46005,1206,62,8485.7,0.026214541897619823,0.05140961857379768,0.9610364842454394,7.32150714834212
2025-01-01,YouTube Ads,Display,Lookalike,South,145.33,18063,245,12,1327.53,0.013563638376792338,0.04897959183673469,0.5931836734693878,9.134590242895479
2025-01-01,Meta Ads,Display,Existing Customers,North,1604.85,104456,2343,122,13667.95,0.02243049705139006,0.052069995731967564,0.6849551856594109,8.516652646664799
2025-01-02,Google Ads,Search,Lookalike,North,1818.52,40901,1274,107,15027.35,0.03114838268013007,0.08398744113029827,1.4274097331240188,8.263505487979236
2025-01-02,YouTube Ads,Search,Prospecting,East,713.71,68140,1098,36,4515.51,0.016113883181684767,0.03278688524590164,0.6500091074681239,6.326813411609757
2025-01-02,LinkedIn Ads,Social,Retargeting,West,1006.55,30674,491,31,3052.04,0.016007041794353524,0.06313645621181263,2.05,3.0321792260692466
2025-01-03,LinkedIn Ads,Social,Prospecting,North,1006.38,31119,495,24,2231.41,0.015906680805938492,0.048484848484848485,2.0330909090909093,2.2172638565949243
2025-01-03,Google Ads,Search,Prospecting,South,460.94,9813,370,42,5705.58,0.03770508509120554,0.11351351351351352,1.2457837837837837,12.378140321950797
2025-01-03,Meta Ads,Social,Existing Customers,West,998.96,66492,1427,78,9713.06,0.021461228418456355,0.05466012613875263,0.700042046250876,9.72317209898294
2025-01-04,Meta Ads,Display,Lookalike,West,413.84,37105,577,19,1655.22,0.015550464896914163,0.03292894280762565,0.7172270363951473,3.999661705006766
2025-01-04,YouTube Ads,Display,Existing Customers,North,471.25,59258,684,18,1611.65,0.01154274528333727,0.02631578947368421,0.6889619883040936,3.419946949602122
2025-01-04,Meta Ads,Social,Retargeting,East,1456.21,100083,1791,176,16704.39,0.01789514702796679,0.09826912339475154,0.813070910106086,11.471140838203281
2025-01-04,LinkedIn Ads,Social,Retargeting,North,1318.97,28916,444,41,3800.26,0.015354820860423295,0.09234234234234234,2.9706531531531533,2.881233083390828
2025-01-05,Meta Ads,Search,Retargeting,North,442.28,35311,837,83,6488.16,0.023703661748463653,0.0991636798088411,0.528410991636798,14.669801935425523
2025-01-05,Google Ads,Social,Prospecting,North,434.53,9971,363,15,1428.13,0.0364055761708956,0.04132231404958678,1.197052341597796,3.286608519549859
2025-01-05,Meta Ads,Social,Prospecting,East,460.1,21463,572,20,1969.13,0.026650514839491216,0.03496503496503497,0.8043706293706294,4.279787002825473
2025-01-06,Google Ads,Social,Retargeting,North,1126.98,31213,1251,152,16214.1,0.04007945407362317,0.12150279776179057,0.900863309352518,14.387211840494064
2025-01-06,LinkedIn Ads,Display,Prospecting,South,365.44,7741,169,12,1745.67,0.0218318046763984,0.07100591715976332,2.1623668639053255,4.776899080560421
2025-01-06,Meta Ads,Search,Existing Customers,North,882.66,57117,1402,71,8449.89,0.024546107113468843,0.05064194008559201,0.6295720399429386,9.573210522738087
2025-01-07,LinkedIn Ads,Search,Prospecting,South,1137.43,25251,472,20,2239.67,0.01869232901667261,0.0423728813559322,2.4098093220338983,1.969061832376498
2025-01-07,Meta Ads,Search,Prospecting,East,660.98,26404,708,60,7450.0,0.026814119072867747,0.0847457627118644,0.9335875706214689,11.271142848497686
2025-01-07,YouTube Ads,Video,Lookalike,South,1349.68,95143,1684,50,5536.41,0.017699673123613927,0.029691211401425176,0.8014726840855108,4.102016774346511
2025-01-07,YouTube Ads,Social,Prospecting,South,574.37,70278,1128,38,4643.7,0.0160505421326731,0.03368794326241135,0.5091932624113475,8.084858192454341
2025-01-08,LinkedIn Ads,Search,Existing Customers,East,609.16,10297,233,18,2333.79,0.022627949888316984,0.07725321888412018,2.614420600858369,3.831160942937816
2025-01-08,Google Ads,Video,Lookalike,East,370.88,12857,295,15,1758.1,0.022944699385548727,0.05084745762711865,1.2572203389830507,4.740347282139775
2025-01-08,Meta Ads,Social,Prospecting,North,1355.93,84773,1770,88,14502.08,0.020879289396388,0.04971751412429379,0.7660621468926554,10.695301379864741
2025-01-09,Google Ads,Social,Lookalike,West,425.32,10475,347,23,3022.21,0.03312649164677804,0.06628242074927954,1.2257060518731988,7.105732154612998
2025-01-09,Google Ads,Video,Retargeting,West,878.69,16903,728,52,4967.51,0.04306927764302195,0.07142857142857142,1.2069917582417584,5.6533134552572575
2025-01-09,Meta Ads,Search,Lookalike,East,668.29,24288,709,37,4501.57,0.02919137022397892,0.05218617771509168,0.9425811001410437,6.735952954555657
2025-01-10,LinkedIn Ads,Search,Lookalike,East,353.11,8872,123,4,402.99,0.013863841298467088,0.032520325203252036,2.8708130081300816,1.141259097731585
2025-01-10,YouTube Ads,Social,Lookalike,East,471.14,49747,962,23,2829.75,0.019337849518563932,0.02390852390852391,0.48975051975051975,6.006176508044319
2025-01-10,Google Ads,Search,Retargeting,South,1719.77,46461,1317,230,20756.72,0.02834635500742558,0.17463933181473046,1.3058238420653,12.06947440646133
2025-01-11,Meta Ads,Display,Prospecting,South,798.04,53643,961,45,4277.7,0.017914732583934532,0.046826222684703434,0.8304266389177939,5.360257631196431
2025-01-11,Meta Ads,Search,Lookalike,South,363.27,22758,480,27,3272.14,0.021091484313208543,0.05625,0.7568125,9.007460015966085
2025-01-11,Google Ads,Search,Existing Customers,North,853.67,18728,619,78,11200.39,0.03305211448099103,0.1260096930533118,1.3791114701130855,13.12028067051671
2025-01-11,Google Ads,Search,Retargeting,West,636.58,20311,537,71,8807.38,0.02643887548618975,0.13221601489757914,1.185437616387337,13.835464513493982
2025-01-12,Meta Ads,Social,Lookalike,South,6609.15,359481,8890,625,81483.82,0.024730097000954153,0.0703037120359955,0.7434364454443194,12.328940937942097
2025-01-12,Google Ads,Search,Retargeting,South,842.53,18178,719,49,5964.71,0.0395533061943008,0.06815020862308763,1.171808066759388,7.079522390894093
2025-01-12,Meta Ads,Search,Lookalike,West,546.58,39404,1048,69,8149.24,0.026596284641153184,0.06583969465648855,0.5215458015267176,14.90951004427531
2025-01-13,Meta Ads,Video,Existing Customers,East,1761.81,121826,2479,76,8695.02,0.020348694039039286,0.03065752319483663,0.7106938281565147,4.935276789211096
2025-01-13,LinkedIn Ads,Social,Prospecting,East,211.54,5483,98,2,259.27,0.01787342695604596,0.02040816326530612,2.1585714285714284,1.2256310863193722
2025-01-13,LinkedIn Ads,Social,Prospecting,North,744.26,20948,375,26,3469.64,0.017901470307427916,0.06933333333333333,1.9846933333333332,4.661865477118211
2025-01-14,Google Ads,Search,Retargeting,South,2559.22,37300,1769,281,31995.76,0.04742627345844504,0.15884680610514415,1.4467043527416619,12.50215299974211
2025-01-14,LinkedIn Ads,Social,Retargeting,East,649.08,23040,249,6,677.37,0.010807291666666666,0.024096385542168676,2.6067469879518073,1.043584766130523
2025-01-14,LinkedIn Ads,Search,Retargeting,South,226.88,6270,95,8,1149.16,0.015151515151515152,0.08421052631578947,2.3882105263157896,5.065056417489422
