term,estimate,std_error,t_value,p_value,ci_low,ci_high
Intercept,-24.33996718621711,180.47150720166067,-0.1348687533208186,0.8927443343894054,-378.51075720040427,329.83082282797005
C(platform)[T.LinkedIn Ads],193.55392517074227,172.99075164478307,1.1188686292789995,0.26348020828594243,-145.93607037032166,533.0439207118062
C(platform)[T.Meta Ads],-1.6071528466167706,127.59887861102611,-0.012595352436568301,0.9899532841469184,-252.01674017329498,248.80243448006144
C(platform)[T.YouTube Ads],118.29561198061833,210.95055283543994,0.5607741264034485,0.5750843171874286,-295.6895378645191,532.2807618257557
C(campaign_type)[T.Search],4.833504934941857,140.0945707183695,0.03450172915450518,0.9724843418133032,-270.0985636080462,279.76557347792993
C(campaign_type)[T.Social],134.10832893019946,133.2321989982784,1.0065759624062978,0.31439598172153915,-127.35650785326285,395.57316571366175
C(campaign_type)[T.Video],-48.67105483184446,158.22403758863024,-0.3076084744998436,0.7584479794274324,-359.1817457487315,261.83963608504257
C(audience)[T.Lookalike],-425.9875068089839,153.4708182021812,-2.7756905957704054,0.005617128547505087,-727.1701243290643,-124.8048892889035
C(audience)[T.Prospecting],-460.8256410155807,141.4781884097375,-3.257220396977203,0.0011651146304924459,-738.473024449145,-183.17825758201639
C(audience)[T.Retargeting],-445.1735562177961,145.84750683106654,-3.0523220169504537,0.0023342196448081615,-731.3956170677598,-158.95149536783236
spend,0.24040247372898715,0.17509659423430327,1.3729705867796358,0.17008684476285224,-0.1032201848852703,0.5840251323432446
impressions,-0.002069907434957191,0.0034716364932991326,-0.5962339199257974,0.5511616050236234,-0.00888290666424784,0.004743091794333459
clicks,0.09700087125768841,0.26936946098189757,0.3601034464118676,0.7188501554617857,-0.4316299152910734,0.6256316578064502
conversions,118.42034467771455,1.9384000861975215,61.09179705517595,0.0,114.61628330239166,122.22440605303744
